id1,id2,sim,text1,text2
1366494,714055,0.76277,"(Kalliolle kartanos'),",5 Kaskimaalle kartanosi!
1288033,1046681,0.47721353,"Nuku, nuku, nukeriainen",5 nuku nurmelle hyvalle.
662037,265483,0.70446986,Leppä miulle savvan anto.,"Lehto mullen sauvan anto,"
671829,1226943,0.19641854,"15 Puhehet vei puure'ellä,","Lapsi luaajolla vesille,"
828707,1004216,0.321182,"Tie minut kylään vei,","Kieron silmin keksinöö,"
789395,519402,0.18257417,Eikä ihmistä ivata.,Suku virttä suoltamaahe.
960063,663028,0.1729286,"Kuusi meni kuueksi muruksi,","minä köpi ämmän_kätte,"
1124883,1058981,0.56,"5 Mettä mulle sauvan antoi,","Pappi mulle paian anto,"
1287814,816525,0.6770671,"Väsy, kun minä väsytän!","Väsy, väsy, västäräkki,"
1318823,828028,0.8711446,"Silmin kieroin keksinnyh,","kiero silmin keksinyöö,"
959683,1059566,0.22518867,"Mutta pääsin päistärihin,","Minä ulos ajettiin,"
1089654,1090015,1.0000002,Suutari mulle mustat kengät;,Suutari mulle mustat kengät.
1374486,311456,0.21821788,Päistäret tulelle syttyit.,25 Yhdeksäntoist meren ylitse. 
417568,1040964,0.29408583,Minä menin muille maille,"Isällensä iltaseksi,"
394560,982912,0.30792016,"Tehe#1 pellolle pesäsi,","5 Virren töille työntelemme,"
1059342,928258,0.5813777,"Löysin emännän leipomasta,",Tapasin isännän-pojan-
1059532,1058492,0.42919752,"10 Minä annon kakon kalamiähelle,","5 Minä hyppäsin aidan päälle,"
671960,944702,0.08787495,väsy väsy västäräkki!,Rauta van̄e ymberille.
947928,1366646,0.8563489,"Nuku, nuku, nurmilintu,",Nuku nurmilintuseni.
120691,1366867,0.08336549,"Väsy, väsy, västäräkki,","Tyttö hänelle#3 leivän leipo,"
993068,492941,0.25928152,Alkoi valta vaikuttaa:,"Tahtoi tulla tälle maalle,"
647814,633898,0.30151132,"Silta on tehty sietra luista,","10 Tytteret tyrän sylissä,"
822086,401143,0.5378529,"Kaivon rei'än kannikkoon,","Ja hän kakkaran kalaniekoille,"
958947,992664,0.6390392,Kotkalintu minulle siipees anto,kotka minul siippes laino
