id1,id2,sim,text1,text2
1040770,125592,0.44194174,Niin kun kahta kante[letta].,Kuin viikoset villat kantaa.
1241396,72607,0.25649458,"Joi oluen onneksehe,","Yhen vyöni vyötännällä,"
1003914,1124326,0.7273929,"20 Minä kakun kalamiehille,","15 Minä kalat riihimiehille,"
1124320,133856,0.41905817,"Näillä saauilla sanoilla,","Sauva saatto tielle,"
671955,662230,0.49999997,Joka lattiat lakasi,"Joka katteh[e]n kasso,"
1349137,982666,1.0000001,Nuku nuku nurmilintu,"5 Nuku, nuku, nurmilintu,"
959034,1125572,0.75373465,Ämmä mulle kakon.,ämmä mulle kaku leipos
828066,485707,0.54545456,Emo piäksää pienen lapsen,30 Läpi pitken pilven reunan.
828169,558796,0.1679842,"20 Elämästä entisestä,","5 Tapiolan hurmen hursti,"
828325,828010,0.66989064,"Kadehen kovan edehe,",20 Ken katehen katsokohon etc.
1374679,592770,0.32732686,"Aloin luuven luksutella,","Harjakset annoin suutarille,"
1125016,1124885,0.586207,"30 Vaivanen mulle vasikan,",Vaivaset mulle jumalankoston.
1102113,1195639,0.2860388,"Minä kylen koiralle,","Rauta ruuhi leuan#6 alla,"
822350,1108470,0.53605634,"5 Akka mulle kaakun leipoo,","20 Te'epä mullen kakkarainen,"
1058438,1317562,0.17010346,"käi vaihoss varastammoaa,","Annoin sen vanhalle ämmälle,"
959403,959607,0.9813066,"minä kakun kalamiehel,",Minä kakun kalamiehell
959388,1004072,0.29397237,Kuninkaan virkalakki.,jyvät kannoin sian eteen
1003994,1125127,0.43052837,"Minä menin koivuun,","Minä lensin lepikköön,"
828438,714127,0.08219949,"Väsy, väsy, västäräkki,",10 näkimesä näppäjää.
593462,662498,0.78567415,25 Koira mulle orava' haukku.,"30 Koira se oravan haukkui,"
714006,655907,0.99999994,"5 Kalliolle kartanois,",Kalliolle kartanois!
1058524,1125271,0.53608775,"5 Mie menin aitan pääle,","Menin muinen mustalaan,"
617597,1001492,0.5200314,Mikä lastun kuoren alla?,"miun on lapsen laulujaini,"
1004218,1059449,0.7018316,Tyttären taikinaa vanuttamasta.,talon tyttären taputtelemasta.
663322,382308,0.31506303,"Siani sian lihoille,","Minä paijan annoin vaevaselle#1,"
698925,992944,0.6499337,30 Kalamies minulle kalakontin,Kala mies kaloja mulle.
959951,602468,0.096225046,"Räntää räpättäkkööt,",Minä oravan kukkolinnul.
1288131,1118483,0.9999999,"Väsy, väsy, västäräkki!","väsy, väsy, västäräkki,"
1058941,1059488,0.7008256,"Minä oravan kotkan noukkaan,","10 Vein oravan kotkalle,"
97438,602577,0.19069251,Lennä tänne löyhyttele,Šoanenko [šanelomahe]
646188,1125513,0.42146358,20 Minä kylen koiraselle.,"Hyppäs aitan kynnykselle,"
1125672,480083,0.20515248,"Karhuloikii kaatamahan,","Minä kalat riihimiehille,"
331271,491073,0.08856149,"Paai, paai, äää äää,","10 Apityttö ainelleni,"
828631,960045,0.41039133,"siu̯usei̯nä sirkal_lui̯st,",S[elviä] s[inä] i[känä]
293132,98523,0.51793236,"En#1 oo laulajan lajia,",Ved ku noisen laulamaa
1090032,982742,0.09158437,"Väsy, väsy västäräkki.","5 Kaikki seitsemän sedältä,"
959364,992777,0.7627701,Takasikkin tullakseni.,"takaperin tullaksen,"
822514,593476,0.7134773,"Aita alleni kaatui,","aita kaatu kallijolle,"
992933,519457,0.31354472,"Isän pitkille pihoille,","Itte nylin nyrkilläin,"
1040924,1373270,0.42059553,"Minä Rokon selkähäni,",Mikä sen kylän alitse juoksee?
1124839,1374849,0.8153743,"Minä kakun kalamiähel,","Minä kakun kalamiehille,"
120133,617601,0.44450045,"15 vaik mie lapsi paljon laulan,",Lammas miulla villasie;
993129,993172,0.984732,"Tappoi isän tappoi äidin,","Tappoi isän, tappoi äijin,"
1353762,662145,0.9158438,"Venäläinen, vainolainen,","Venäläine, vainolaine,"
500871,787456,0.096225046,"heimokset, heläjämähe,","Kierosilmä keksinöö,"
993188,1058441,0.6240376,"Kalamiäs mulle kalan anto,",Kalamiehet kaloja antoi.
602635,1374358,0.31701148,"Kylen annoin koiralle,","Tuohon tuimaan tulleen,"
180552,17836,0.19764236,"Noita#29 kuoppie kuoppimassa.""#30,#31","Akka miulle tahasta,"
993172,992850,0.7745966,"Tappo isän, tappo äilin,","Tappoi isän tappoi äidin,"
1374755,1089538,0.50800055,"Lepältä minä sauvan sain,","Kalan minä sialle,"
1059413,992774,0.5505977,20 Minä oravat kotkalle.,Minä kalat riihimiähelle
1319408,1108438,0.22742942,"Sivuseinä sirkan luista,",Toine taivasta tavotti.
1374224,662718,0.77594036,"Minä anno'n jyvät kosso'lle,","Jyvät annoin possolle,"
593335,1298635,0.9095085,"35 Siipiään, sulkiansa,",25 Siip[iään] sulkiaan
1125101,1298823,0.94135773,"metsä miulle sauvan antoi,","5 Metsä mulle sauvan antoi,"
1125550,958990,0.7259539,täti minull kakun leipoo,Muorinen minulle kakun leipo.
98491,1059475,0.26457515,Sauva minut tiäälle saattoi,"Ei syyttä syville mennä,"
663144,482424,0.19518001,"Mistä virttä ottanemma,","Minä annan kalat riihimiehille,"
959482,992444,0.7905695,Siat sotku taikinaa,Sia sotkusi taikina
497701,1116143,0.4354942,"Läkkämästä laulamahan,","La miä laulella alotan,"
1298633,731845,0.5397505,30 jolla kortta korkiemmaks.,"Mie kost'jumala kokkoloille,"
1313905,98091,0.62709343,"Kuin ei tässä laut̮at laula,","Tässä laulun laittelemme,#1"
661906,992776,0.7058866,"Yli meren mennäkseni,","Yhdeksän meren yliten,"
982647,1046723,1.0000001,"Nuku, nuku nurmilintu!","Nuku, nuku nurmilintu,"
663088,1004177,0.7572403,15 Löysin emännät leipomassa,"Siellä emännät leepomassa,"
959289,959402,0.7735268,Emmä mulle kaku leipos,ämmä minul kaku leipos
1059190,828239,0.32128772,"Koin Jumalan koittamista,","rautaisehen karsinahan,"
1002890,560435,0.28196293,"Kaks ei jaksa kansan iestä,","Vitan oksa virvottaa,"
822075,1003953,0.72835696,tees nyt mulle kakkarainen,"Paistas miulle kakkarainen,"
1319044,819392,0.18731715,"Tyttäret taputtamassa,","vaskireun(o)aa vattii,"
662874,661929,0.7427813,"Koivun lehen korkukainen,",Koivun lehen paksuinen!
1089698,662948,0.8023773,"Minä kakkaran kalamiehille,",Minä kaakun kalamiehellen;
714100,1159115,0.41702887,Punasella purtilolla.,"Tie pellollem pesäsj,"
1391865,1002904,0.07352146,"Väsy väsy västäräkki,","mie villan akalla,"
1287920,714052,1.0000001,"Nuku, nuku, nurmilintu,","Nuku, nuku, nurmilintu,"
960065,662251,0.5399055,"Minä oravan kotkalle,","minä kakon_kalamiähel,"
418349,601015,0.31524417,"Akan kurjan kumppaliks,","Kuul isoi tuon sanoman,"
143403,171452,0.23132597,"Auralla tuli terällä,","10 Oi Ukko üli-jumala,"
1319171,1124417,0.20701969,"Tappo isän, (tappo äitin),","Paha valta vaappeheelle,"
992638,1059117,0.7960979,"Minä kalat jyvämiehelle,",minä kalat jyvärille.
992474,655847,0.070099965,"Väsy, väsy, västäräkki,","Possu mulle liikkiös anto,"
1040915,662189,0.09166986,"Souteloopi, jouteloopi,","Tuollapa veljes näkyy,"
992761,663023,0.6109599,"Minä pääsin päistärille,","Minä karkasin ailan päälle,"
593447,1124210,0.8025722,"Sepä minun tielle saatto,","15 Sauva minun tielle saattoi,"
1221903,97378,0.2773501,"Kiven kirj[avan] sivulle,",Koskas se sieltä kotiin tulee?
593783,1195577,0.8398411,"5 Seittemän setäni lasta,","Seitsemän settäin lasta,"
662986,345002,0.2390457,10 Eikä meitä moru murra.,"Minä menin kuuseen,"
1263176,815659,0.23693955,"10 Magavuta, Muarijani,#7","muulo muitai opetin,"
1046573,944691,0.9448618,"Väsy, väsy, västäräkki!","väsy, säsy västäräkki,"
1117079,384859,0.38892227,"Torkku toisesta talosta,","Kulta suusta kumppahuvi,"
1314055,330068,0.23354968,Kui elit isosi kotona,"Viell hä heitti Vinkkelii,"
1242860,418323,0.20833331,Puurtavan puna hamoisen.,"Lopu ei multa lorpotokset,"
1124108,822355,0.83053976,"25 Minä kakkaran kalamiehelle,",Minä kakun kalamiehille.
1089518,97281,0.23094012,"Parem̄[ille] laulaj[ille],#1","Minä lenni(n) letakkohon,"
633916,1004018,0.6254627,"Yheksän meren ylite,","5. [yli meren männäkseen]i,"
1199093,1287881,0.1679842,"5 kivikolle kiukoasi,","Lyökäämme käsi kätehen,"
1046316,788373,0.5112077,"Veliseni, veitoseni,","Lapselleni pienoiselle,"
559481,791086,0.5673086,"Minäpä laululle rupian,","Nyt mie lauluille laskein,"
655958,982837,0.9057893,kalliolle kartanos',"Kalliolle kartanoisi,"
1221853,959770,0.67303646,"yli meren mennäkseni,",yli vuoren ja meren.
1058342,993006,0.7514692,"Kalamies mulle kaloja antoi,","Kalamies minull' kaloi annoi,"
959833,828033,0.17107978,"Piästä Luoja, piästä luondo,",ja suite helisivä Suomenmaas.
944693,657798,0.8762495,"Väsy, västäräkkiseni,","Väsy, väsy, västäräkki,"
646230,1319279,0.33333334,"Joss on korppi koinettuna,","Toinen Vilttu,"
655997,655849,0.99999994,"Kalliolle kartanosi,","Kalliolle kartanosi,"
716373,1046562,0.09672388,"Väsy, väsy, västäräkki!",10 Riih'mies miulle#2 jyvät anto.
716470,602463,0.14673479,Velhot veitsi rautonee.,"Lepällehe levveyne,"
482039,1002812,0.070099965,väsy väsy västäräkki.,"5 Miul on virteińi omani,"
417708,121285,0.3032392,"50 Äsen sinusta mies tuleepi,","Mie kakun kaulamieheen,"
1195642,1124386,0.7925939,Pappi liinapaijan anto;,"Pappi mulle liinapaijan,"
392887,887048,0.24000001,"Nygysiss on#7 nuorisoiss,","Viel on sorjana somerot,"
1004246,958761,0.6420578,Minä kakun kalamiehell,Minä kalat riihmiehille.
383084,1002927,0.1081081,"Väsy, väsy västäräkki,",La mie vielä virren laulan.
662440,1086923,0.92932016,"Minä hyppäsin aidalle,","Minä hyppäsin aijallen,"
97334,374185,0.20100759,"Älä jätä Jääkäriä,","Kahen tietä käyessäni,"
938954,1125027,0.52511394,Kultakauha kannen päällä.,"45 Joka kuukaus karitsan kantaa,"
959479,633916,0.85125655,"5. [yli meren männäkseen]i,",10 Yli mere mennäksen
646169,480144,0.31872758,15 Pi'in ruuasta puhetta.,Ketä siellä aitasaa asuupi?
592754,649566,0.4233902,"Kiärin virtäin kärälle,","Ajoin kotiin kurella,"
1288006,1119044,0.95860255,"Väsy, väsy, västäräkki!","Väsy, väsy, väistäräkki,"
1374370,1288136,0.08858079,"väsy, väsy, västäräkki,","Minä pääsin aidan päälle,"
1004004,1089473,0.55555564,Minä sauvan akallen;,"10 Minä oravan sepälle,"
1288188,655347,0.91003156,"Kalliollen kartanoisi,",5 Kalliolle kartanois!
646202,1041132,0.38306543,Mikä kylän keskellä?,5 Mitä ne siellä tekeevät?
714004,1046540,0.9999999,"Väsy, väsy västäräkki.","Väsy, väsy, västäräkki,"
1374388,1125262,0.61967736,Seiväs meni seitsemäksi.,"Sepä söi setäni seitsemän lasta,"
646119,793284,0.33705264,"Salistansa suavat saua,[!]","Liisa hihat liittelyö,"
958662,662538,0.5686069,"15 Minä sanoin: Tieppä miullennii kakkara,","Kakun minä kalamiehel annoon,"
1089697,1089705,0.53346497,"Seppä mulle puukon teki,","5 Emäntä mulle kaakun teki,"
731250,345015,0.4446487,"Kasvatte laulukallahalla,","45 Vanhallagi Väinämöillä."""
1353772,1124935,0.6068661,sauva minun̬ tiɛllev_vei,Sauva miun tielle soatto.
180642,1046621,0.33362308,"Tuutin lasta tuonelaan,","Ukon ilman istumas',"
1318913,1124601,0.23515853,"10 Seittemäksi seipähäksi,","kierosilmin keksinöö,"
1059149,1124291,0.56613845,"20 Kalamiehet mulle kaloja,","minä kalat jyvä miehelle,"
662746,160396,0.5921566,Tarkasta [tapiol'asta].,Tyttären taputtamasta.
1298640,1004143,0.40852976,15 Lehet kullan karvalliset.],40 Kanat on vaskivarpahaiset.
179723,982783,0.09320547,"väsy väsy västäräkki,","Kanna pellolla pesäsi,"
959227,1058965,0.53979564,"Minä katin kangaspuihin,",minä kalat riihi äijäl
1287793,1288112,0.9999999,"väsy, väsy, västäräkki!","Väsy, väsy, västäräkki,"
958927,992813,0.08825916,"Kookoo kookoo koko hattu,","minä kakun kalamiehel,"
633869,822411,0.6542886,"Minä piäsin päistärille,","Mie om peäsim päistäriine,"
662904,1058579,0.6191034,"Viita mulle sauvan laitto,","Lehto mulle sauvan antoi,"
1089695,1319056,0.12478356,"Räntää räpättäköön,","Tietä pitkin tiesin tulla,"
1059526,822507,0.51227176,"5 Minä pääsin päistärille,",Että mä pääsin naimaan
463466,959430,0.5175492,5 Kalamies mull kaloi annoi,"Mie kakun kalamiehell,"
1202939,663045,0.5188746,Kalamiehet mulle kaloja.,"Kahelle kanan-munalle,"
992762,982653,0.07352146,"Väsy, väsy västäräkki,",Aita kaatu vainiolle.
1366683,1348191,1.0000001,"Nuku, nuku, nurmilintu,","Nuku, nuku, nurmilintu,"
476588,406952,0.2,"Tule veikko tänne,","20 Sirkkusenko siiven alt,"
1125318,1374772,0.96490145,"Koira mulle oravan haukkui,",Koirapa mulle oravan haukkui.
822144,1003899,0.6666666,Tie minun kylään vei.,Tie minun talohe veigi.
655979,1366731,0.085202865,"Väy, väsy, västäräkki,",Villasele vuotiale.
1366581,1374542,0.34698895,"Mettä minulle sauvan anto,","Nukutan, nukutan nurmi-lintuu,"
816552,1366612,0.6565706,"Nuku, nuku, nurmilmtu,","Nuku, kuin minä nukutan,"
139631,387662,0.47149518,"25 Kuuli#2 kurki, kuuli kärki,",Huommen kuurona kul[uksi].
1288256,714087,0.7171087,"Tie pellolle pesäsi,","Teeppä pellollen pesäs,"
1288127,662154,0.16681153,"10 Kuusi kuueks muruks,",Kärpän tyttären kälyksi.
661861,1318956,0.4743417,"Syömeä kylän kirroi,","Minä kyleŋ_koiralle,"
731826,329928,0.18208925,"La lähen läpi kyläsen,","toin oli nuori Jougahainen,"
993132,992628,0.492366,Siellä minä vasta ihmeen näin.,"5 Minä pääsin päistärihin,"
662666,662584,0.96076876,Aita kuatu' kahen puolen.,10 Aita kuatu' kahenpuolen.
478317,1125118,0.22821772,"Katto kullasta koottu,","Ihanasta itsestäini,"
1108491,117978,0.19395246,"Nuku, nuku, nurmilintu,","Tappo kummin kuusi lasta,"
1298438,509739,0.31943828,Kuhe tahen sinne tantsin.,Tyttären taputtamasta:
1088076,1002917,0.95742714,Nuku nurmilintu.,"Nuku nuku, nurmilintu,"
822147,1090087,0.56149,"Akka minulle kakun leipo,","Paistas miulle kakkaraine,"
1366773,1088078,0.7937254,"Tee pellollen pesäsi,","Teki pellolle pesänsä,"
593345,993067,0.95899415,"Venäläinen, vainolainen","Venäjäinen vainolainen,"
1238567,1299088,0.19672237,Tuli minuu tappamaan.,"Laulan lapsien tavalla,"
